id,content,attendance,pre,grade,hard,reward,recommand,assignment,result,pub_time,upvote,downvote,course_id
10927,Jack Chan死傻仔 含撚啦,1,1,1,1,1,1,1,1,2021-10-31 14:14:23.104193,0,0,1764
10926,"",1,1,1,1,1,1,1,1,2021-10-31 13:45:42.830604,0,0,1764
10925,"",1,5,1,1,1,1,1,1.5714285714285714,2021-10-31 13:45:27.159337,0,0,1764
10887,死八婆,1,1,1,1,1,1,1,1,2021-10-30 14:38:53.046902,0,0,1764
10871,"btw, 如果本身基礎不太好，隊友中又有free rider，一個人做兩份工，還得被教授挑刺，真的難受。。。",1,5,1,1,5,2,5,2.857142857142857,2021-10-29 15:12:49.500084,0,0,1764
10870,"我是上個學期的，我們班只有一個很認真也很有基礎的女同學pun拿到了B+/A-/A。fail的同學不知道有沒有，但給分普遍低。
",1,2.5,1,1,5,2,5,2.5,2021-10-29 14:58:27.720481,0,0,1764
10868,一個合格的（高中式的）老師。但實在是不明白她為什麽要把分壓得那麽死。。。,1,2.5,1,1,5,2,5,2.5,2021-10-29 14:42:29.596125,0,0,1764
10850,她的课想拿a很简单 你去日她 把她日爽就能拿a了,1,1,1,1,1,1,1,1,2021-10-29 11:13:24.493000,0,0,1764
10849,臭傻逼 死婊子 我tm操你全家 垃圾狗 狗屎都不如 祝你早死全家 早死全家 早死全家 傻逼狗东西 祝你早死全家 早死全家 早死全家 ,1,1,1,1,1,1,1,1,2021-10-29 11:05:18.093944,0,0,1764
10846,大一第一学期take的，去年吧，这女人给我留下严重心理阴影，我看到Josephine这名字就留冷汗😅，节节课签到，okfine没问题，四点上课，3:55就开始点名几个意思，有人踩点到都算late，哇哦，平常b事情还特别多，我什么都按时完成，交的作业快了一点（国庆我熬夜做+submit）这b说不符合我的水平我笑tm死，我啥水平，你直接把我打回1001上呗，那我高考英语考这个分，入学英语测试就考这样，我啥水平你找reg呗😅，什么都做了，pre，AB，group essay，我自己啥水平不说了最后B-就是了，同组两个特别努力的女孩子这个b才给B+，把两个A给一个外国人一个local我真不知道这两怎么配的，一点体现不出来academic，甚至一点academic的努力都没有，academicnm呢😅。选到她赶紧跑就是了，我大一入学太年轻太sb什么都不清楚，这个b给分特别慢专门挑Withdraw期过了才出一个，跑就是了，这个b怎么还没滚出澳大？,1,3.9000000000000004,1,1,1.8,1,1,1.5285714285714287,2021-10-29 09:09:09.930466,0,0,1764
10768,"",1,5,1,1,1,1,1,1.5714285714285714,2021-10-27 15:44:01.498409,0,0,1764
10760,平時上堂好辛苦 好多事 自問英文幾好嘅 都有花時間温習 但最後比分好低 曬心機捱眼瞓 利申：C,1,1,1,1,1,1,1,1,2021-10-27 10:31:06.295299,0,0,1764
10758,理性一点，澳大的英语课整体就很水，所以根本不存在收获不收获，当然那些说收获的都是英语啥也不会的，withdraw时态都搞不明白，你还谈收获？那这么水的课，你还选这么拉的prof，你确实也挺勇，交了钱，事还多，最后拿个D，你也就是在这交智商税了，这老师的课给狗狗都不听！自己选择吧，有钱的尽情选吧，withdraw到注册处老师都认得你,1,1,1,1,1,1,1,1,2021-10-27 10:29:27.374140,0,0,1764
10757,我是去年的学生 这节课上到后期只剩7个人 7个里面只有2个人拿了C 其他全部fail 好几个人都哭了 真心不推荐 楼下夸老师的别误导人了 有意思吗,1,1,1,1,1,1,1,1,2021-10-27 10:26:03.700967,0,0,1764
10747,時式都未撚搞明白 翻去讀小學啦 唔撚怪知得你淨係識擦鞋啦 擦鞋仔 ,1,1,1,1,1,1,1,1,2021-10-27 05:01:31.015764,0,0,1764
10746,优越感有没有不知道 反正withdraw我能拼对,1,1,1,1,1,1,1,1,2021-10-27 05:00:31.152626,0,0,1764
10745,屌你老母 你讀撚到EELC1003啦 你英文都未撚識仲withdrew 我drew你老母咩 小學雞水平 笑鳩死我 ,1,1,1,1,1,1,1,1,2021-10-27 04:58:21.755411,0,0,1764
10744,犬啊 你先把withdraw拼对 再护主人 实在有点丢人了,1,1,1,1,1,1,1,1,2021-10-27 04:58:20.949213,0,0,1764
10743,哈哈哈哈哈 我要笑死了 舔这么牛逼 这老师这么屌 教的你withdraw都拼不对 哈哈哈哈哈哈,1,1,1,1,1,1,1,1,2021-10-27 04:57:30.482989,0,0,1764
10741,屌你 尼度係評論啊 讀唔撚讀關你閪事咩 我鐘意點講點講 關你個柒頭皮閪事咩 擦鞋仔,1,1,1,1,1,1,1,1,2021-10-27 04:55:35.795331,0,0,1764
10736,護主犬出來了,1,1,1,1,1,1,1,1,2021-10-27 04:53:28.484183,0,0,1764
10725,罵老師都能駡出優越感？,5,2.5,5,5,5,5,5,4.642857142857143,2021-10-26 07:01:12.948246,0,0,1764
10723,不想上又不是不能withdrew，沒人攔你。,1,2.5,5,5,5,5,5,4.071428571428571,2021-10-26 07:00:21.938616,0,0,1764
10722,說老師有優點就是舔狗，罵老師一文不值叫有獨立思想？,1,5,5,5,5,5,5,4.428571428571429,2021-10-26 06:59:03.527593,0,0,1764
10705,老尼姑 笑死,1,1,1,1,1,1,1,1,2021-10-26 06:37:22.424896,0,0,1764
10659,hhhh喜欢老师哈哈哈哈哈哈 真的要被你笑掉大牙 那你去给她舔吧 舔完她还吐你口水 你还冲着她摇摇尾巴 纯纯sb,1,1,1,1,1,1,1,1,2021-10-25 00:27:05.990087,0,0,1764
10658,sb舔狗,1,1,1,1,1,1,1,1,2021-10-25 00:25:55.264000,0,0,1764
